# gauge_id= 2 location=( -0.9471000000E+02  0.2928000000E+02 ) num_var=  7
# Stationary gauge
# level, time, q[  1  2  3], eta, aux[  5  6  7]
# file format ascii, time series follow in this file
   02  0.1408044E+05  0.9323154E+01  0.1314975E+01 -0.1455463E+02 -0.3507362E+00  0.2453914E+02  0.1803841E+02  0.9885731E+05
   02  0.1423449E+05  0.9309084E+01  0.1086709E+01 -0.1444351E+02 -0.3648061E+00  0.2444766E+02  0.1797969E+02  0.9887915E+05
   02  0.1438854E+05  0.9296458E+01  0.8801249E+00 -0.1433217E+02 -0.3774330E+00  0.2435565E+02  0.1792039E+02  0.9890067E+05
   02  0.1454258E+05  0.9285094E+01  0.6935938E+00 -0.1422211E+02 -0.3887963E+00  0.2426316E+02  0.1786056E+02  0.9892187E+05
   02  0.1469663E+05  0.9274811E+01  0.5256097E+00 -0.1411487E+02 -0.3990795E+00  0.2417025E+02  0.1780024E+02  0.9894276E+05
   02  0.1485068E+05  0.9267984E+01  0.1295224E+01 -0.1408728E+02 -0.4059065E+00  0.2407696E+02  0.1773947E+02  0.9896334E+05
   02  0.1500473E+05  0.9255928E+01  0.1074717E+01 -0.1399577E+02 -0.4179625E+00  0.2398332E+02  0.1767830E+02  0.9898362E+05
   02  0.1515878E+05  0.9244914E+01  0.8762053E+00 -0.1390775E+02 -0.4289766E+00  0.2388940E+02  0.1761676E+02  0.9900361E+05
   02  0.1531282E+05  0.9234834E+01  0.6979256E+00 -0.1382361E+02 -0.4390564E+00  0.2379521E+02  0.1755489E+02  0.9902331E+05
   02  0.1546687E+05  0.9225624E+01  0.5382644E+00 -0.1374326E+02 -0.4482664E+00  0.2370079E+02  0.1749272E+02  0.9904273E+05
   02  0.1562092E+05  0.9217228E+01  0.3957462E+00 -0.1366657E+02 -0.4566622E+00  0.2360619E+02  0.1743028E+02  0.9906186E+05
   02  0.1577497E+05  0.9211651E+01  0.1175606E+01 -0.1366289E+02 -0.4622392E+00  0.2351143E+02  0.1736760E+02  0.9908073E+05
   02  0.1592901E+05  0.9201356E+01  0.9796607E+00 -0.1359948E+02 -0.4725346E+00  0.2341654E+02  0.1730471E+02  0.9909933E+05
   02  0.1608306E+05  0.9192104E+01  0.8042608E+00 -0.1353737E+02 -0.4817869E+00  0.2332155E+02  0.1724162E+02  0.9911766E+05
   02  0.1623711E+05  0.9183777E+01  0.6477411E+00 -0.1347729E+02 -0.4901139E+00  0.2322649E+02  0.1717837E+02  0.9913574E+05
   02  0.1639116E+05  0.9178768E+01  0.1421630E+01 -0.1348783E+02 -0.4951221E+00  0.2313137E+02  0.1711498E+02  0.9915357E+05
   02  0.1654520E+05  0.9168451E+01  0.1214061E+01 -0.1344102E+02 -0.5054393E+00  0.2303624E+02  0.1705146E+02  0.9917115E+05
   02  0.1669925E+05  0.9159034E+01  0.1028254E+01 -0.1339705E+02 -0.5148568E+00  0.2294109E+02  0.1698784E+02  0.9918849E+05
   02  0.1685330E+05  0.9150342E+01  0.8623865E+00 -0.1335612E+02 -0.5235486E+00  0.2284597E+02  0.1692413E+02  0.9920559E+05
   02  0.1700735E+05  0.9142255E+01  0.7148175E+00 -0.1331840E+02 -0.5316357E+00  0.2275088E+02  0.1686035E+02  0.9922245E+05
   02  0.1716139E+05  0.9137218E+01  0.1493494E+01 -0.1334967E+02 -0.5366726E+00  0.2265585E+02  0.1679652E+02  0.9923909E+05
   02  0.1731544E+05  0.9126759E+01  0.1294323E+01 -0.1332396E+02 -0.5471313E+00  0.2256088E+02  0.1673265E+02  0.9925550E+05
   02  0.1746949E+05  0.9117069E+01  0.1116413E+01 -0.1329667E+02 -0.5568215E+00  0.2246601E+02  0.1666875E+02  0.9927170E+05
   02  0.1762354E+05  0.9107978E+01  0.9579696E+00 -0.1326588E+02 -0.5659128E+00  0.2237123E+02  0.1660484E+02  0.9928767E+05
   02  0.1777758E+05  0.9099456E+01  0.8175815E+00 -0.1323181E+02 -0.5744342E+00  0.2227658E+02  0.1654093E+02  0.9930344E+05
   02  0.1793163E+05  0.9091467E+01  0.6935257E+00 -0.1319491E+02 -0.5824238E+00  0.2218205E+02  0.1647704E+02  0.9931899E+05
   02  0.1808568E+05  0.9083925E+01  0.5843780E+00 -0.1315582E+02 -0.5899651E+00  0.2207815E+02  0.1636094E+02  0.9933339E+05
   02  0.1823973E+05  0.9078922E+01  0.1383236E+01 -0.1317715E+02 -0.5949682E+00  0.2196595E+02  0.1620495E+02  0.9934685E+05
   02  0.1839377E+05  0.9068577E+01  0.1216337E+01 -0.1314190E+02 -0.6053132E+00  0.2185283E+02  0.1605118E+02  0.9936016E+05
   02  0.1854782E+05  0.9058833E+01  0.1065702E+01 -0.1310689E+02 -0.6150574E+00  0.2173884E+02  0.1589959E+02  0.9937331E+05
   02  0.1870187E+05  0.9049578E+01  0.9301588E+00 -0.1307320E+02 -0.6243127E+00  0.2162404E+02  0.1575013E+02  0.9938631E+05
