# gauge_id= 1 location=( -0.9000000000E+02  0.2500000000E+02 ) num_var=  7
# Stationary gauge
# level, time, q[  1  2  3], eta, aux[  5  6  7]
# file format ascii, time series follow in this file
   01 -0.2518057E+06  0.3509637E+04  0.2229500E+01  0.1841608E+01 -0.1251162E-03 -0.2900541E+00 -0.7501576E+00  0.1012514E+06
   01 -0.2514976E+06  0.3509637E+04  0.2089364E+01  0.1952820E+01  0.8523337E-04 -0.3047027E+00 -0.7893189E+00  0.1012491E+06
   01 -0.2511895E+06  0.3509637E+04  0.2011223E+01  0.2039096E+01 -0.7878521E-04 -0.3197484E+00 -0.8296318E+00  0.1012467E+06
   01 -0.2508814E+06  0.3509636E+04  0.1995022E+01  0.2080558E+01 -0.4911998E-03 -0.3351731E+00 -0.8710570E+00  0.1012443E+06
   01 -0.2505733E+06  0.3509637E+04  0.1852772E+01  0.2068958E+01 -0.2831015E-04 -0.3509564E+00 -0.9135501E+00  0.1012418E+06
   01 -0.2502652E+06  0.3509637E+04  0.1757721E+01  0.2016427E+01  0.9106209E-04 -0.3670761E+00 -0.9570622E+00  0.1012393E+06
   01 -0.2499571E+06  0.3509637E+04  0.1721422E+01  0.1930233E+01 -0.1195506E-03 -0.3835079E+00 -0.1001540E+01  0.1012367E+06
   01 -0.2496490E+06  0.3509637E+04  0.1583599E+01  0.1820513E+01  0.3629391E-03 -0.4002263E+00 -0.1046928E+01  0.1012341E+06
   01 -0.2493409E+06  0.3509637E+04  0.1491375E+01  0.1695882E+01  0.4995143E-03 -0.4172039E+00 -0.1093165E+01  0.1012315E+06
   01 -0.2490328E+06  0.3509637E+04  0.1473186E+01  0.1570962E+01  0.2229722E-03 -0.4344124E+00 -0.1140188E+01  0.1012288E+06
   01 -0.2487247E+06  0.3509637E+04  0.1348192E+01  0.1453093E+01  0.5598145E-03 -0.4518224E+00 -0.1187934E+01  0.1012261E+06
   01 -0.2484167E+06  0.3509638E+04  0.1251132E+01  0.1330160E+01  0.5973828E-03 -0.4694038E+00 -0.1236334E+01  0.1012234E+06
   01 -0.2481086E+06  0.3509637E+04  0.1196604E+01  0.1190697E+01  0.4099799E-03 -0.4871259E+00 -0.1285321E+01  0.1012207E+06
   01 -0.2478005E+06  0.3509638E+04  0.9887694E+00  0.1025385E+01  0.1011033E-02 -0.5049578E+00 -0.1334828E+01  0.1012179E+06
   01 -0.2474924E+06  0.3509638E+04  0.7928167E+00  0.8352855E+00  0.1310074E-02 -0.5228685E+00 -0.1384784E+01  0.1012152E+06
   01 -0.2471843E+06  0.3509638E+04  0.6299916E+00  0.6338650E+00  0.1247021E-02 -0.5408272E+00 -0.1435121E+01  0.1012124E+06
   01 -0.2468762E+06  0.3509639E+04  0.3523408E+00  0.4309155E+00  0.1794020E-02 -0.5588034E+00 -0.1485771E+01  0.1012097E+06
   01 -0.2465681E+06  0.3509639E+04  0.9167369E-01  0.2292224E+00  0.1936317E-02 -0.5767672E+00 -0.1536666E+01  0.1012069E+06
   01 -0.2462600E+06  0.3509639E+04 -0.1214321E+00  0.4219446E-01  0.1589149E-02 -0.5946893E+00 -0.1587739E+01  0.1012042E+06
   01 -0.2459519E+06  0.3509639E+04 -0.4272665E+00 -0.1258543E+00  0.1987343E-02 -0.6125412E+00 -0.1638924E+01  0.1012015E+06
   01 -0.2456438E+06  0.3509639E+04 -0.7203716E+00 -0.2771205E+00  0.1991857E-02 -0.6302953E+00 -0.1690158E+01  0.1011988E+06
   01 -0.2453357E+06  0.3509639E+04 -0.9550612E+00 -0.4012779E+00  0.1658269E-02 -0.6479249E+00 -0.1741376E+01  0.1011961E+06
   01 -0.2450276E+06  0.3509639E+04 -0.1270182E+01 -0.5009807E+00  0.2125924E-02 -0.6654043E+00 -0.1792516E+01  0.1011935E+06
   01 -0.2447195E+06  0.3509639E+04 -0.1553492E+01 -0.5826649E+00  0.2186625E-02 -0.6827089E+00 -0.1843517E+01  0.1011908E+06
   01 -0.2444114E+06  0.3509639E+04 -0.1762778E+01 -0.6383272E+00  0.1882872E-02 -0.6998149E+00 -0.1894318E+01  0.1011883E+06
   01 -0.2441033E+06  0.3509639E+04 -0.2050069E+01 -0.6733691E+00  0.2352543E-02 -0.7166995E+00 -0.1944860E+01  0.1011857E+06
   01 -0.2437952E+06  0.3509639E+04 -0.2286288E+01 -0.6999157E+00  0.2453146E-02 -0.7333410E+00 -0.1995084E+01  0.1011832E+06
   01 -0.2434871E+06  0.3509639E+04 -0.2435587E+01 -0.7158111E+00  0.2193452E-02 -0.7497184E+00 -0.2044932E+01  0.1011807E+06
   01 -0.2431790E+06  0.3509640E+04 -0.2671266E+01 -0.7269086E+00  0.2630345E-02 -0.7658114E+00 -0.2094347E+01  0.1011783E+06
   01 -0.2428709E+06  0.3509640E+04 -0.2842052E+01 -0.7345132E+00  0.2703699E-02 -0.7816009E+00 -0.2143271E+01  0.1011759E+06
   01 -0.2425628E+06  0.3509639E+04 -0.2923071E+01 -0.7296830E+00  0.2443503E-02 -0.7970680E+00 -0.2191647E+01  0.1011736E+06
   01 -0.2422547E+06  0.3509640E+04 -0.3109713E+01 -0.7135673E+00  0.2911926E-02 -0.8071668E+00 -0.2225602E+01  0.1011723E+06
   01 -0.2419467E+06  0.3509640E+04 -0.3251089E+01 -0.6904352E+00  0.3062098E-02 -0.8159923E+00 -0.2256295E+01  0.1011712E+06
   01 -0.2416386E+06  0.3509640E+04 -0.3313541E+01 -0.6555028E+00  0.2831615E-02 -0.8242518E+00 -0.2285647E+01  0.1011701E+06
   01 -0.2413305E+06  0.3509640E+04 -0.3454333E+01 -0.6143308E+00  0.3285101E-02 -0.8319384E+00 -0.2313624E+01  0.1011692E+06
   01 -0.2410224E+06  0.3509640E+04 -0.3552286E+01 -0.5740061E+00  0.3346643E-02 -0.8390464E+00 -0.2340192E+01  0.1011684E+06
   01 -0.2407143E+06  0.3509640E+04 -0.3567001E+01 -0.5291781E+00  0.2954096E-02 -0.8433805E+00 -0.2358374E+01  0.1011679E+06
   01 -0.2404062E+06  0.3509640E+04 -0.3634497E+01 -0.4826496E+00  0.3241675E-02 -0.8459489E+00 -0.2371118E+01  0.1011676E+06
   01 -0.2400981E+06  0.3509640E+04 -0.3664557E+01 -0.4377670E+00  0.3199902E-02 -0.8484754E+00 -0.2383826E+01  0.1011672E+06
   01 -0.2397900E+06  0.3509640E+04 -0.3619483E+01 -0.3910031E+00  0.2770736E-02 -0.8509596E+00 -0.2396498E+01  0.1011669E+06
   01 -0.2394819E+06  0.3509640E+04 -0.3653263E+01 -0.3451631E+00  0.3074731E-02 -0.8534014E+00 -0.2409132E+01  0.1011666E+06
   01 -0.2391738E+06  0.3509640E+04 -0.3659366E+01 -0.3043461E+00  0.3082014E-02 -0.8558006E+00 -0.2421729E+01  0.1011663E+06
   01 -0.2388657E+06  0.3509640E+04 -0.3597521E+01 -0.2738785E+00  0.2794629E-02 -0.8581569E+00 -0.2434287E+01  0.1011660E+06
   01 -0.2385576E+06  0.3509640E+04 -0.3618067E+01 -0.2510831E+00  0.3242080E-02 -0.8604701E+00 -0.2446807E+01  0.1011657E+06
