,ch4 x=80m,ch7 x=50m,ch18 x=40m,ch10 x=30.8m,ch20 x=20m,ch23 x=5m
t(s),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm)
129.56,-0.015,0.055,0.157,0.232,0.05,-0.195
129.57,-0.025,0.045,0.147,0.212,0.06,-0.195
129.58,-0.015,0.055,0.137,0.202,0.06,-0.195
129.59,-0.025,0.055,0.127,0.202,0.07,-0.185
129.6,-0.015,0.075,0.127,0.212,0.08,-0.185
129.61,-0.035,0.065,0.117,0.222,0.1,-0.185
129.62,-0.015,0.095,0.117,0.242,0.11,-0.185
129.63,-0.035,0.095,0.107,0.272,0.12,-0.185
129.64,-0.025,0.115,0.107,0.302,0.13,-0.175
129.65,-0.045,0.115,0.097,0.332,0.15,-0.175
129.66,-0.035,0.135,0.107,0.362,0.16,-0.175
129.67,-0.055,0.135,0.097,0.392,0.16,-0.175
129.68,-0.045,0.155,0.107,0.422,0.16,-0.165
129.69,-0.065,0.145,0.107,0.462,0.16,-0.155
129.7,-0.055,0.155,0.117,0.482,0.15,-0.155
129.71,-0.075,0.145,0.117,0.522,0.15,-0.155
129.72,-0.065,0.155,0.137,0.552,0.13,-0.145
129.73,-0.075,0.135,0.147,0.562,0.12,-0.145
129.74,-0.065,0.155,0.167,0.572,0.11,-0.145
129.75,-0.075,0.135,0.167,0.582,0.09,-0.145
129.76,-0.065,0.145,0.187,0.582,0.07,-0.145
129.77,-0.075,0.125,0.187,0.572,0.07,-0.135
129.78,-0.055,0.135,0.207,0.562,0.05,-0.145
129.79,-0.075,0.115,0.207,0.542,0.03,-0.145
129.8,-0.065,0.125,0.217,0.512,0.02,-0.145
129.81,-0.065,0.115,0.217,0.492,0.01,-0.145
129.82,-0.055,0.115,0.227,0.462,0.01,-0.145
129.83,-0.065,0.115,0.237,0.432,0.01,-0.145
129.84,-0.045,0.115,0.237,0.402,0.01,-0.145
129.85,-0.055,0.115,0.247,0.382,0.01,-0.145
129.86,-0.035,0.115,0.247,0.362,0.01,-0.145
129.87,-0.045,0.105,0.247,0.352,0.02,-0.145
129.88,-0.035,0.115,0.257,0.332,0.02,-0.155
129.89,-0.035,0.095,0.247,0.322,0.03,-0.155
129.9,-0.015,0.115,0.257,0.322,0.03,-0.155
129.91,-0.025,0.095,0.247,0.312,0.06,-0.155
129.92,-0.005,0.115,0.267,0.312,0.08,-0.155
129.93,-0.015,0.095,0.247,0.322,0.1,-0.155
129.94,-0.005,0.105,0.247,0.322,0.1,-0.165
129.95,-0.015,0.095,0.247,0.332,0.12,-0.165
129.96,-0.005,0.095,0.257,0.332,0.15,-0.165
129.97,-0.015,0.085,0.247,0.332,0.17,-0.165
129.98,-0.005,0.095,0.247,0.332,0.19,-0.165
129.99,-0.015,0.075,0.247,0.332,0.22,-0.165
130,-0.005,0.095,0.247,0.312,0.24,-0.175
130.01,-0.015,0.075,0.237,0.312,0.28,-0.175
130.02,-0.005,0.095,0.227,0.302,0.29,-0.175
130.03,-0.025,0.075,0.207,0.292,0.33,-0.175
130.04,-0.005,0.095,0.207,0.272,0.33,-0.175
130.05,-0.025,0.075,0.187,0.262,0.34,-0.175
130.06,-0.015,0.095,0.177,0.252,0.34,-0.175
130.07,-0.025,0.085,0.147,0.232,0.34,-0.165
130.08,-0.005,0.105,0.147,0.232,0.33,-0.175
130.09,-0.025,0.105,0.137,0.232,0.32,-0.175
130.1,-0.015,0.115,0.127,0.222,0.27,-0.175
130.11,-0.025,0.115,0.117,0.232,0.23,-0.175
130.12,-0.015,0.125,0.117,0.242,0.21,-0.175
130.13,-0.045,0.135,0.117,0.252,0.17,-0.185
130.14,-0.015,0.155,0.127,0.272,0.16,-0.185
130.15,-0.035,0.145,0.127,0.302,0.13,-0.195
130.16,-0.025,0.165,0.127,0.312,0.11,-0.205
130.17,-0.045,0.155,0.137,0.322,0.11,-0.215
130.18,-0.035,0.165,0.157,0.352,0.09,-0.235
130.19,-0.055,0.155,0.167,0.372,0.09,-0.245
130.2,-0.035,0.165,0.187,0.382,0.09,-0.255
130.21,-0.055,0.155,0.197,0.412,0.1,-0.265
130.22,-0.035,0.155,0.217,0.432,0.1,-0.265
130.23,-0.055,0.145,0.217,0.442,0.12,-0.265
130.24,-0.035,0.155,0.237,0.452,0.13,-0.275
130.25,-0.055,0.135,0.237,0.452,0.15,-0.275
130.26,-0.045,0.145,0.247,0.462,0.17,-0.275
130.27,-0.055,0.125,0.247,0.452,0.18,-0.265
130.28,-0.035,0.125,0.247,0.442,0.19,-0.265
130.29,-0.055,0.115,0.247,0.432,0.19,-0.255
130.3,-0.045,0.115,0.247,0.422,0.21,-0.245
130.31,-0.055,0.115,0.257,0.412,0.22,-0.225
130.32,-0.035,0.115,0.257,0.402,0.22,-0.205
130.33,-0.055,0.085,0.237,0.392,0.21,-0.175
130.34,-0.025,0.095,0.247,0.382,0.19,-0.165
130.35,-0.055,0.075,0.237,0.372,0.17,-0.155
130.36,-0.025,0.085,0.227,0.362,0.15,-0.155
130.37,-0.045,0.075,0.197,0.352,0.11,-0.145
130.38,-0.015,0.085,0.197,0.342,0.08,-0.145
130.39,-0.035,0.065,0.177,0.332,0.03,-0.145
130.4,-0.015,0.085,0.167,0.322,0,-0.135
130.41,-0.015,0.075,0.147,0.312,-0.06,-0.115
130.42,0.005,0.085,0.137,0.302,-0.1,-0.055
130.43,-0.015,0.075,0.107,0.292,-0.12,-0.015
130.44,0.005,0.095,0.107,0.292,-0.16,-0.005
130.45,-0.005,0.095,0.087,0.292,-0.17,-0.005
130.46,0.015,0.115,0.087,0.272,-0.19,-0.005
130.47,-0.005,0.115,0.067,0.272,-0.17,-0.005
130.48,0.015,0.155,0.067,0.262,-0.16,-0.005
130.49,-0.005,0.155,0.057,0.262,-0.12,-0.005
130.5,0.015,0.185,0.057,0.252,-0.1,-0.025
130.51,0.005,0.185,0.047,0.242,-0.06,-0.045
130.52,0.015,0.215,0.057,0.242,-0.03,-0.065
130.53,0.005,0.215,0.047,0.242,0.03,-0.095
130.54,0.025,0.235,0.047,0.232,0.07,-0.115
