# gauge_id= 1 location=( -0.8940740833E+02  0.2893238167E+02 ) num_var=  7
# Stationary gauge
# level, time, q[  1  2  3], eta, aux[  5  6  7]
# file format ascii, time series follow in this file
   01 -0.8112169E+05  0.4376757E+02 -0.8542628E+00  0.8059074E+00  0.3961280E-01 -0.5645401E+01 -0.4065997E+01  0.1008338E+06
   01 -0.8104519E+05  0.4376994E+02 -0.8723556E+00  0.8188592E+00  0.4198125E-01 -0.5660782E+01 -0.4075972E+01  0.1008327E+06
   01 -0.8096869E+05  0.4377232E+02 -0.8880185E+00  0.8313693E+00  0.4436261E-01 -0.5676163E+01 -0.4085947E+01  0.1008316E+06
   01 -0.8089219E+05  0.4377471E+02 -0.9010131E+00  0.8433998E+00  0.4674968E-01 -0.5691545E+01 -0.4095922E+01  0.1008305E+06
   01 -0.8081570E+05  0.4377710E+02 -0.9111297E+00  0.8552617E+00  0.4913684E-01 -0.5706926E+01 -0.4105898E+01  0.1008294E+06
   01 -0.8073920E+05  0.4377947E+02 -0.9181472E+00  0.8658819E+00  0.5150602E-01 -0.5722307E+01 -0.4115873E+01  0.1008282E+06
   01 -0.8066270E+05  0.4378176E+02 -0.9217765E+00  0.8740692E+00  0.5380268E-01 -0.5737689E+01 -0.4125848E+01  0.1008271E+06
   01 -0.8058621E+05  0.4378392E+02 -0.9216718E+00  0.8789640E+00  0.5595434E-01 -0.5753070E+01 -0.4135823E+01  0.1008260E+06
   01 -0.8050971E+05  0.4378598E+02 -0.9185064E+00  0.8818362E+00  0.5801577E-01 -0.5768451E+01 -0.4145799E+01  0.1008249E+06
   01 -0.8043321E+05  0.4378790E+02 -0.9125461E+00  0.8820877E+00  0.5993384E-01 -0.5783833E+01 -0.4155774E+01  0.1008237E+06
   01 -0.8035671E+05  0.4378966E+02 -0.9042164E+00  0.8799984E+00  0.6169326E-01 -0.5799214E+01 -0.4165749E+01  0.1008226E+06
   01 -0.8028022E+05  0.4379128E+02 -0.8947289E+00  0.8756497E+00  0.6331557E-01 -0.5814595E+01 -0.4175724E+01  0.1008215E+06
   01 -0.8020372E+05  0.4379282E+02 -0.8857590E+00  0.8690698E+00  0.6485416E-01 -0.5829977E+01 -0.4185700E+01  0.1008204E+06
   01 -0.8012722E+05  0.4379428E+02 -0.8772615E+00  0.8602014E+00  0.6631710E-01 -0.5845358E+01 -0.4195675E+01  0.1008192E+06
   01 -0.8005073E+05  0.4379567E+02 -0.8690680E+00  0.8488548E+00  0.6770331E-01 -0.5860739E+01 -0.4205650E+01  0.1008181E+06
   01 -0.7997423E+05  0.4379698E+02 -0.8609943E+00  0.8349195E+00  0.6901413E-01 -0.5876121E+01 -0.4215625E+01  0.1008170E+06
   01 -0.7989773E+05  0.4379820E+02 -0.8528853E+00  0.8182165E+00  0.7024284E-01 -0.5891502E+01 -0.4225600E+01  0.1008159E+06
   01 -0.7982124E+05  0.4379929E+02 -0.8429127E+00  0.7986286E+00  0.7132717E-01 -0.5906883E+01 -0.4235576E+01  0.1008148E+06
   01 -0.7974474E+05  0.4380024E+02 -0.8314307E+00  0.7764229E+00  0.7227453E-01 -0.5922264E+01 -0.4245551E+01  0.1008136E+06
   01 -0.7966824E+05  0.4380105E+02 -0.8187556E+00  0.7518924E+00  0.7309212E-01 -0.5937646E+01 -0.4255526E+01  0.1008125E+06
   01 -0.7959174E+05  0.4380175E+02 -0.8051437E+00  0.7253306E+00  0.7378692E-01 -0.5953027E+01 -0.4265501E+01  0.1008114E+06
   01 -0.7951525E+05  0.4380233E+02 -0.7908416E+00  0.6970245E+00  0.7436472E-01 -0.5968408E+01 -0.4275477E+01  0.1008103E+06
   01 -0.7943875E+05  0.4380279E+02 -0.7762027E+00  0.6672434E+00  0.7482624E-01 -0.5983790E+01 -0.4285452E+01  0.1008091E+06
   01 -0.7936225E+05  0.4380313E+02 -0.7615460E+00  0.6362312E+00  0.7516884E-01 -0.5999171E+01 -0.4295427E+01  0.1008080E+06
   01 -0.7928576E+05  0.4380336E+02 -0.7468402E+00  0.6042045E+00  0.7540038E-01 -0.6014552E+01 -0.4305402E+01  0.1008069E+06
   01 -0.7920926E+05  0.4380349E+02 -0.7320760E+00  0.5713459E+00  0.7552844E-01 -0.6029934E+01 -0.4315378E+01  0.1008058E+06
   01 -0.7913276E+05  0.4380351E+02 -0.7171126E+00  0.5377807E+00  0.7555260E-01 -0.6045315E+01 -0.4325353E+01  0.1008046E+06
   01 -0.7905627E+05  0.4380342E+02 -0.7016626E+00  0.5036056E+00  0.7546274E-01 -0.6060696E+01 -0.4335328E+01  0.1008035E+06
